a adir peso a	نزن ، سنگيني ، سنگ وزنه ، چيز سنگين ، سنگين کردن ، بار کردن
a bordo	روي ، توي ، از روي ، روي يا داخل (کشتي يا هواپيما)
a causa	براي ، بجهت ، بواسطه ، بجاي ، از طرف ، به بهاي ، درمدت ، بقدر ، در برابر ، درمقابل ، برله ، بطرفداري از ، مربوط به ، مال ، براي اينکه ، زيرا که ، چونکه
a cuadros	شطرنجي ، پيچازي ، داراي تحولا ت
a diario	روزانه ، روزبروز ، روزنامه يوميه ، بطور يوميه
a ejo	پر زور وکهنه (مثل ابجو) ، کهنه ، بيات ، مانده,بوي ناگرفته ، مبتذل ، بيات کردن ، تازگي وطراوت چيزي را از بين بردن ، مبتذل کردن
a esto	باين (نامه) ، بدين وسيله
a flote	شناور ، در حرکت
a la deriva	دستخوش طوفان ، غوطه ور(روي اب) ، اواره ، بدون هدف ، سرگردان ، شناور
a la moda	شيک ، مدروز ، خوش سليقه
a lo largo	همراه ، جلو ، پيش ، در امتداد خط ، موازي با طول ، پر دراوردن جوجه پرندگان ، پرهاي ريزي که براي متکا بکار ميرود ، کرک ، کرک صورت پايين ، سوي پايين ، بطرف پايين ، زير ، بزير ، دلتنگ ، غمگين ، پيش قسط ، گذشته ، پايان يافته ، پيشينه ، وابسته بزمان گذشته ، پيش ، ماقبل ، ماضي ، گذشته از ، ماوراي ، درماوراي ، دور از ، پيش از
a menos que	مگراينکه ، جز اينکه ، مگر
a menudo	بارها ، خيلي اوقات ، بسي ، کرارا ، بکرات ، غالب اوقات
a mitad de camino	نيمه راه ، اندکي ، نصفه کاره
a partir	از ، بواسطه ، درنتيجه ، از روي ، مطابق ، از پيش
a pesar	با وجود ، بااينکه ، کينه ورزيدن
a popa	عقب ، پشت ، بطرف عقب
a punto	درباره ، گرداگرد ، پيرامون ، دور تا دور ، در اطراف ، نزديک ، قريب ، در حدود ، در باب ، راجع به ، در شرف ، در صدد ، با ، نزد ، در ، بهر سو ، تقريبا ، بالا تر ، فرمان عقب گرد
a quien	 ، چه کسي را ، به چه کسي ، چه کسي ، کسيکه ، ان کسي که
a saber	يعني ، بنام ، با ذکر نام ، براي مثال
a tal grado	چنين ، اينقدر ، اينطور ، همچو ، چنان ، بقدري ، انقدر ، چندان ، همينطور ، همچنان ، همينقدر ، پس ، بنابراين ، از انرو ، خيلي ، باين زيادي
a ti	شما ، شما ر
a tierra	در کنار ، درساحل ، بکنار ، بطرف ساحل
a travs	سرتاسر ، ازاين سو بان سو ، درميان ، ازعرض ، ازميان ، ازوسط ، ازاين طرف بان طرف ، ازميان ، از طريق ، بواسطه ، در ظرف
a usted	شما ، شمارا
a veces	گاهي ، بعضي اوقات ، بعضي مواقع ، گاه بگاهي
a. macabro	وابسته برقص مرگ ، مهيب ، ترسناک ، خوفناک
aadir	افزودن ، اضافه کردن ، افزودن ، الحاق کردن ، اويختن ، پيوست کرد
abacero	عطار ، بقال ، خواربار فروش
abacial	دورازمحور
abadراهب بزرگ ، رءيس راهبان
abada	قلمرو راهب ، مقام رهبانيت ، مقر راهبان دير ، دير ، صومعه ، خانقاه ، کليسا ، نام کليساي وست مينستر
